Price,Processor,RAM_GB,RAM_Type,CPU_bit,OS,Screen_size_cm,Storage_Capacity_SSD_GB,Storage_Capacity_HDD_GB,Storage_Capacity_EMMC_GB,Brand,Graphics_capa_GB,Years_warranty,Ratings
46990.0,AMD Ryzen 5 Hexa Core,8,DDR4,64,Windows 11,39.62,512.0,0.0,0.0,HP,0.5,1,4.3
50990.0,Intel Core i5,8,DDR4,64,Windows 10,39.62,256.0,1024.0,0.0,ASUS,0.5,1,4.3
28990.0,Intel Core i3,8,LPDDR4X,64,Windows 11,35.56,256.0,0.0,0.0,Infinix,0.5,1,4.2
39990.0,Intel Core i5,8,DDR4,64,Windows 11,39.62,512.0,0.0,0.0,RedmiBook,0.5,1,4.1
38705.0,AMD Ryzen 5 Quad Core,8,DDR4,64,Windows 11,39.62,512.0,0.0,0.0,Lenovo,0.5,2,4.2
84990.0,Intel Core i7,16,DDR4,64,Windows 10,39.62,512.0,0.0,0.0,MSI,6.0,2,4.3
181990.0,Apple M1 Pro,16,Unified Memory,64,Mac OS,36.07,512.0,0.0,0.0,APPLE,0.5,1,4.8
196990.0,AMD Ryzen 9 Octa Core,16,DDR5,64,Windows 11,39.62,1024.0,0.0,0.0,ASUS,0.5,1,4.5
85990.0,AMD Ryzen 7 Octa Core,16,DDR4,64,Windows 11,39.62,1024.0,0.0,0.0,ASUS,4.0,1,4.6
109990.0,AMD Ryzen 9 Octa Core,16,DDR4,64,Windows 11,39.62,1024.0,0.0,0.0,MSI,0.5,1,4.6
32990.0,Qualcomm Snapdragon 7c Gen 2,4,LPDDR4X,64,Windows 11,35.56,0.0,0.0,128.0,SAMSUNG,0.5,1,4.4
37990.0,Intel Core i5,16,LPDDR4X,64,Windows 11,35.56,512.0,0.0,0.0,Infinix,0.5,1,4.1
139990.0,Apple M2,8,Unified Memory,64,Mac OS,34.54,512.0,0.0,0.0,APPLE,0.5,1,5.0
35590.0,AMD Ryzen 3 Dual Core,8,DDR4,64,Windows 11,39.62,512.0,0.0,0.0,Lenovo,0.5,2,4.2
150990.0,AMD Ryzen 9 Octa Core,16,DDR4,64,Windows 11,39.62,1024.0,0.0,0.0,ASUS,0.5,1,4.9
29990.0,Intel Core i3,4,DDR4,64,Windows 11,39.62,256.0,0.0,0.0,Lenovo,0.5,1,4.4
19490.0,Intel Celeron Dual Core,4,DDR4,64,Chrome,35.56,0.0,0.0,64.0,Lenovo,0.5,1,4.2
36990.0,Intel Core i3,8,DDR4,64,Windows 11,35.56,256.0,0.0,0.0,Lenovo,0.5,2,4.2
73490.0,AMD Ryzen 7 Octa Core,8,DDR4,64,Windows 11,39.62,512.0,0.0,0.0,Lenovo,0.5,1,4.5
52990.0,AMD Ryzen 5 Hexa Core,8,DDR4,64,Windows 11,39.62,256.0,1024.0,0.0,ASUS,0.5,1,4.4
41890.0,Intel Core i3,8,DDR4,64,Windows 11,39.62,512.0,0.0,0.0,HP,0.5,1,4.2
30428.0,Intel Pentium Silver,8,DDR4,64,Windows 11,39.62,256.0,0.0,0.0,DELL,0.5,1,4.2
34990.0,Intel Core i3,8,DDR4,64,Windows 11,39.62,512.0,0.0,0.0,acer,0.5,1,4.1
19490.0,Intel Celeron Dual Core,4,DDR4,64,Chrome,35.56,0.0,0.0,64.0,Lenovo,0.5,1,4.2
29990.0,Intel Core i3,4,DDR4,64,Windows 11,39.62,256.0,0.0,0.0,Lenovo,0.5,1,4.4
88990.0,Apple M1,8,DDR4,64,Mac OS,33.78,256.0,0.0,0.0,APPLE,0.5,1,4.7
36990.0,Intel Core i3,8,DDR4,64,Windows 11,35.56,256.0,0.0,0.0,Lenovo,0.5,2,4.2
65990.0,Intel Core i7,8,DDR4,64,Windows 10,39.62,512.0,0.0,0.0,MSI,4.0,2,4.4
33490.0,Intel Core i3,8,DDR4,64,Windows 11,39.62,512.0,0.0,0.0,ASUS,0.5,1,4.1
60990.0,Intel Core i5,16,DDR4,64,Windows 11,35.56,512.0,0.0,0.0,HP,0.5,1,4.1
39990.0,Intel Core i3,8,DDR4,64,Windows 11,39.62,512.0,0.0,0.0,Lenovo,0.5,2,4.2
46990.0,AMD Ryzen 5 Hexa Core,8,DDR4,64,Windows 11,39.62,512.0,0.0,0.0,HP,0.5,1,4.3
59990.0,AMD Ryzen 7 Octa Core,16,DDR4,64,Windows 11,39.62,512.0,0.0,0.0,ASUS,0.5,1,4.3
114990.0,Intel Core i7,16,DDR4,64,Windows 10,39.62,1024.0,0.0,0.0,MSI,6.0,2,4.2
39990.0,Intel Core i5,8,DDR4,64,Windows 11,39.62,512.0,0.0,0.0,RedmiBook,0.5,1,4.1
119990.0,Intel Core i7,16,DDR4,64,Windows 10,40.64,1024.0,0.0,0.0,ASUS,4.0,1,4.3
42990.0,Intel Core i5,8,LPDDR4X,64,Windows 11,39.62,512.0,0.0,0.0,Infinix,0.5,1,4.3
89990.0,Intel Core i5,16,LPDDR5,64,Windows 11,39.62,512.0,0.0,0.0,ASUS,4.0,1,4.6
38705.0,AMD Ryzen 5 Quad Core,8,DDR4,64,Windows 11,39.62,512.0,0.0,0.0,Lenovo,0.5,2,4.2
79990.0,AMD Ryzen 7 Octa Core,8,DDR4,64,Windows 11,39.62,512.0,0.0,0.0,MSI,0.5,1,4.5
70990.0,Intel Core i5,8,DDR4,64,Windows 11,39.62,1024.0,0.0,0.0,ASUS,4.0,1,4.8
33900.0,Intel Core i3,8,DDR4,64,Windows 11,39.62,256.0,0.0,0.0,Lenovo,0.5,1,4.2
196990.0,AMD Ryzen 9 Octa Core,16,DDR5,64,Windows 11,39.62,1024.0,0.0,0.0,ASUS,0.5,1,4.5
59990.0,Intel Evo Core i5,8,DDR4,64,Windows 10,35.56,512.0,0.0,0.0,realme,0.5,1,4.4
52990.0,Intel Core i7,16,LPDDR4X,64,Windows 11,39.62,512.0,0.0,0.0,Infinix,0.5,1,4.8
124990.0,Apple M1,16,DDR4,64,Mac OS,33.78,512.0,0.0,0.0,APPLE,0.5,1,4.7
85990.0,AMD Ryzen 7 Octa Core,16,DDR4,64,Windows 11,39.62,1024.0,0.0,0.0,ASUS,4.0,1,4.6
31990.0,Intel Core i3,8,DDR4,64,Windows 11,39.62,256.0,0.0,0.0,RedmiBook,0.5,1,4.2
66990.0,AMD Ryzen 5 Hexa Core,16,DDR4,64,Windows 11,39.62,512.0,0.0,0.0,acer,4.0,1,4.3
89081.0,AMD Ryzen 7 Octa Core,16,DDR4,64,Windows 11,39.62,512.0,0.0,0.0,DELL,4.0,1,5.0
36990.0,Intel Core i3,8,DDR4,64,Windows 11,35.56,256.0,0.0,0.0,Lenovo,0.5,2,4.2
104990.0,Apple M1,8,DDR4,64,Mac OS,33.78,512.0,0.0,0.0,APPLE,0.5,1,4.7
53490.0,Intel Core i5,8,DDR4,64,Windows 11,39.62,512.0,0.0,0.0,Lenovo,0.5,2,4.2
45990.0,Intel Core i3,8,LPDDR4X,64,Windows 11,35.56,256.0,0.0,0.0,ASUS,0.5,1,4.5
39990.0,Intel Core i3,8,DDR4,64,Windows 11,39.62,512.0,0.0,0.0,Lenovo,0.5,2,4.2
45990.0,Intel Core i3,8,DDR4,64,Windows 11,39.62,512.0,0.0,0.0,ASUS,0.5,1,4.5
51990.0,Intel Core i5,8,DDR4,64,Windows 11,39.62,512.0,0.0,0.0,MSI,4.0,2,4.4
75990.0,AMD Ryzen 7 Octa Core,16,DDR4,64,Windows 11,39.62,512.0,0.0,0.0,HP,4.0,1,4.3
39990.0,Intel Core i5,8,DDR4,64,Windows 11,39.62,512.0,0.0,0.0,RedmiBook,0.5,1,4.1
36990.0,Intel Core i3,8,DDR4,64,Windows 11,39.62,256.0,0.0,0.0,Lenovo,0.5,2,4.2
78800.0,Intel Core i5,16,DDR4,64,Windows 11,35.56,512.0,0.0,0.0,HP,0.5,1,3.7
29390.0,AMD Athlon Dual Core,8,DDR4,64,Windows 11,39.62,512.0,0.0,0.0,HP,0.5,1,4.2
38705.0,AMD Ryzen 5 Quad Core,8,DDR4,64,Windows 11,39.62,512.0,0.0,0.0,Lenovo,0.5,2,4.2
30990.0,Intel Core i3,8,LPDDR4X,64,Windows 11,35.56,256.0,0.0,0.0,Infinix,0.5,1,4.3
62490.0,Intel Core i5,16,DDR4,64,Windows 11,39.62,512.0,0.0,0.0,Lenovo,0.5,2,4.1
